Image 	 Size(Bytes) 	 Luminance 	 Contrast 	 AspectRatio 	 Width(Pixels) 	 Red 	 Green 	 Blue 
21301.jpg 	 63882 	 106.8551 	 0.0510 	 0.666667 	 450 	 106.8553 	 106.8571 	 106.8451 
21302.jpg 	 35429 	 10.0447 	 0.1210 	 0.664444 	 450 	 10.6410 	 10.0801 	 8.3096 
30101.jpg 	 80984 	 186.2579 	 0.0827 	 0.664444 	 450 	 174.8604 	 187.2052 	 211.3069 
30201.jpg 	 159374 	 115.9299 	 0.2349 	 0.666667 	 450 	 136.3364 	 111.2706 	 86.3802 
30202.jpg 	 113859 	 106.5418 	 0.2068 	 0.666667 	 450 	 109.1293 	 104.5630 	 110.0967 
30203.jpg 	 142304 	 169.6999 	 0.5167 	 0.664444 	 450 	 188.3357 	 164.8116 	 145.9584 
30204.jpg 	 111404 	 128.8934 	 0.1693 	 0.666667 	 450 	 137.9460 	 128.9850 	 104.7119 
30205.jpg 	 143699 	 164.6291 	 0.3994 	 0.666667 	 450 	 163.5412 	 166.7163 	 156.5273 
30301.jpg 	 111359 	 125.0295 	 0.1142 	 0.664444 	 450 	 85.7258 	 135.1580 	 176.0297 
30302.jpg 	 111746 	 166.6799 	 0.1384 	 0.666667 	 450 	 182.0934 	 164.6735 	 136.4874 
30303.jpg 	 77881 	 125.4164 	 0.1023 	 0.664444 	 450 	 138.8516 	 119.4366 	 120.8931 
30401.jpg 	 195779 	 119.8227 	 0.4214 	 0.666667 	 450 	 154.4324 	 108.0567 	 89.6448 
30402.jpg 	 112748 	 125.1554 	 0.1294 	 0.664444 	 450 	 163.8973 	 108.7869 	 107.8010 
30403.jpg 	 150881 	 165.2350 	 0.2852 	 0.664444 	 450 	 155.4732 	 171.3419 	 159.3929 
30404.jpg 	 132498 	 152.9687 	 0.2283 	 0.666667 	 450 	 145.7783 	 161.8254 	 126.3336 
30405.jpg 	 130683 	 170.0316 	 0.1219 	 0.664444 	 450 	 204.7918 	 160.0568 	 130.1324 
30406.jpg 	 166768 	 126.1475 	 0.3268 	 0.666667 	 450 	 154.1866 	 116.5791 	 101.8317 
30501.jpg 	 128965 	 143.2958 	 0.2124 	 0.666667 	 450 	 146.5051 	 144.3262 	 129.6781 
30502.jpg 	 94660 	 139.9305 	 0.0926 	 0.666667 	 450 	 133.6972 	 142.1920 	 144.7285 
30503.jpg 	 135035 	 122.3915 	 0.1641 	 0.666667 	 450 	 109.2222 	 124.2227 	 147.5432 
30601.jpg 	 129631 	 112.6159 	 0.1940 	 0.664444 	 450 	 103.1090 	 115.3002 	 123.6290 
30602.jpg 	 227692 	 173.0804 	 0.7352 	 0.666667 	 450 	 202.0939 	 167.6935 	 124.5528 
30603.jpg 	 72950 	 124.8058 	 0.0951 	 0.664444 	 450 	 146.8943 	 125.5831 	 62.4349 
30701.jpg 	 166717 	 74.5891 	 0.2849 	 0.664444 	 450 	 90.5612 	 72.3023 	 44.4476 
